rustzx/rustzx	rustzx__rustzx-102	patch	29724
rustzx/rustzx	rustzx__rustzx-102	test_patch	23357
rustzx/rustzx	rustzx__rustzx-102	problem_statement	48
rustzx/rustzx	rustzx__rustzx-84	patch	27118
rustzx/rustzx	rustzx__rustzx-84	problem_statement	43
linebender/resvg	linebender__resvg-690	patch	235
linebender/resvg	linebender__resvg-690	test_patch	2008
linebender/resvg	linebender__resvg-690	problem_statement	337
linebender/resvg	linebender__resvg-690	hints_text	123
rustzx/rustzx	rustzx__rustzx-60	patch	46950
rustzx/rustzx	rustzx__rustzx-60	problem_statement	67
linebender/resvg	linebender__resvg-586	patch	501
linebender/resvg	linebender__resvg-586	test_patch	653
linebender/resvg	linebender__resvg-586	problem_statement	1708
linebender/resvg	linebender__resvg-586	hints_text	10836
linebender/resvg	linebender__resvg-482	patch	166
linebender/resvg	linebender__resvg-482	problem_statement	382
linebender/resvg	linebender__resvg-482	hints_text	210
rustzx/rustzx	rustzx__rustzx-133	patch	34444
rustzx/rustzx	rustzx__rustzx-133	test_patch	5251
rustzx/rustzx	rustzx__rustzx-133	problem_statement	153
rustzx/rustzx	rustzx__rustzx-133	hints_text	55
linebender/resvg	linebender__resvg-679	patch	4347
linebender/resvg	linebender__resvg-679	test_patch	13444
linebender/resvg	linebender__resvg-679	problem_statement	29
linebender/resvg	linebender__resvg-679	hints_text	33
linebender/resvg	linebender__resvg-137	patch	26598
linebender/resvg	linebender__resvg-137	test_patch	612
linebender/resvg	linebender__resvg-137	problem_statement	19
linebender/resvg	linebender__resvg-137	hints_text	69
linebender/resvg	linebender__resvg-150	patch	1242
linebender/resvg	linebender__resvg-150	test_patch	670
linebender/resvg	linebender__resvg-150	problem_statement	936
linebender/resvg	linebender__resvg-150	hints_text	109
linebender/resvg	linebender__resvg-680	patch	930
linebender/resvg	linebender__resvg-680	test_patch	688
linebender/resvg	linebender__resvg-680	problem_statement	77
linebender/resvg	linebender__resvg-675	patch	487
linebender/resvg	linebender__resvg-675	test_patch	743
linebender/resvg	linebender__resvg-675	problem_statement	20
linebender/resvg	linebender__resvg-532	patch	4889
linebender/resvg	linebender__resvg-532	problem_statement	63
linebender/resvg	linebender__resvg-532	hints_text	14
linebender/resvg	linebender__resvg-267	patch	352
linebender/resvg	linebender__resvg-267	problem_statement	865
linebender/resvg	linebender__resvg-267	hints_text	372
linebender/resvg	linebender__resvg-637	patch	255
linebender/resvg	linebender__resvg-637	problem_statement	161
linebender/resvg	linebender__resvg-136	patch	80608
linebender/resvg	linebender__resvg-136	test_patch	25078
linebender/resvg	linebender__resvg-136	problem_statement	81
igumnoff/shiva	igumnoff__shiva-100	patch	5377
igumnoff/shiva	igumnoff__shiva-100	test_patch	1038
igumnoff/shiva	igumnoff__shiva-100	problem_statement	53
igumnoff/shiva	igumnoff__shiva-100	hints_text	10
linebender/resvg	linebender__resvg-813	patch	733
