baconpaul/sapphire-plugins baconpaul__sapphire-plugins-34 patch 965
baconpaul/sapphire-plugins baconpaul__sapphire-plugins-34 problem_statement 270
baconpaul/sapphire-plugins baconpaul__sapphire-plugins-34 hints_text 579
FiniteSingularity/obs-quick-access-utility FiniteSingularity__obs-quick-access-utility-16 patch 1842
FiniteSingularity/obs-quick-access-utility FiniteSingularity__obs-quick-access-utility-16 problem_statement 135
leethomason/tinyxml2 leethomason__tinyxml2-983 patch 4175
leethomason/tinyxml2 leethomason__tinyxml2-983 problem_statement 144
rime/weasel rime__weasel-1265 patch 10718
rime/weasel rime__weasel-1265 problem_statement 487
rime/weasel rime__weasel-1265 hints_text 208
rime/weasel rime__weasel-1063 patch 1244
rime/weasel rime__weasel-1063 problem_statement 449
rime/weasel rime__weasel-1063 hints_text 74
rime/weasel rime__weasel-1057 patch 243
rime/weasel rime__weasel-1057 problem_statement 561
rime/weasel rime__weasel-1055 patch 8668
rime/weasel rime__weasel-1055 problem_statement 337
rime/weasel rime__weasel-1049 patch 790
rime/weasel rime__weasel-1049 problem_statement 104
rime/weasel rime__weasel-1049 hints_text 37
TigerVNC/tigervnc TigerVNC__tigervnc-1491 patch 6461
TigerVNC/tigervnc TigerVNC__tigervnc-1491 problem_statement 337
TigerVNC/tigervnc TigerVNC__tigervnc-1491 hints_text 909
ledger/ledger ledger__ledger-2381 patch 1058
ledger/ledger ledger__ledger-2381 problem_statement 484
ledger/ledger ledger__ledger-2381 hints_text 1
ledger/ledger ledger__ledger-2261 patch 157
ledger/ledger ledger__ledger-2261 problem_statement 361
ledger/ledger ledger__ledger-2261 hints_text 389
ledger/ledger ledger__ledger-2249 patch 576
ledger/ledger ledger__ledger-2249 problem_statement 152
ledger/ledger ledger__ledger-2249 hints_text 354
ledger/ledger ledger__ledger-2245 patch 470
ledger/ledger ledger__ledger-2245 test_patch 177
ledger/ledger ledger__ledger-2245 problem_statement 206
ledger/ledger ledger__ledger-2245 hints_text 632
ledger/ledger ledger__ledger-2135 patch 156
ledger/ledger ledger__ledger-2135 test_patch 419
ledger/ledger ledger__ledger-2135 problem_statement 359
ledger/ledger ledger__ledger-2133 patch 1684
ledger/ledger ledger__ledger-2133 problem_statement 200
ledger/ledger ledger__ledger-2114 patch 95
ledger/ledger ledger__ledger-2114 problem_statement 499
ledger/ledger ledger__ledger-2114 hints_text 224
ledger/ledger ledger__ledger-2107 patch 638
ledger/ledger ledger__ledger-2107 problem_statement 118
ledger/ledger ledger__ledger-2107 hints_text 419
LibreSprite/LibreSprite LibreSprite__LibreSprite-272 patch 141
LibreSprite/LibreSprite LibreSprite__LibreSprite-272 problem_statement 227
LibreSprite/LibreSprite LibreSprite__LibreSprite-272 hints_text 265
LibreSprite/LibreSprite LibreSprite__LibreSprite-270 patch 978
LibreSprite/LibreSprite LibreSprite__LibreSprite-270 problem_statement 149
LibreSprite/LibreSprite LibreSprite__LibreSprite-270 hints_text 44
LibreSprite/LibreSprite LibreSprite__LibreSprite-132 patch 7173
LibreSprite/LibreSprite LibreSprite__LibreSprite-132 problem_statement 118
LibreSprite/LibreSprite LibreSprite__LibreSprite-132 hints_text 1
leil-io/saunafs leil-io__saunafs-237 patch 394
leil-io/saunafs leil-io__saunafs-237 problem_statement 547
leil-io/saunafs leil-io__saunafs-237 hints_text 12
leil-io/saunafs leil-io__saunafs-117 patch 37510
leil-io/saunafs leil-io__saunafs-117 test_patch 44720
leil-io/saunafs leil-io__saunafs-117 problem_statement 233
leil-io/saunafs leil-io__saunafs-79 patch 128
leil-io/saunafs leil-io__saunafs-79 problem_statement 233
leil-io/saunafs leil-io__saunafs-79 hints_text 252
Provenance-Emu/Provenance Provenance-Emu__Provenance-1730 patch 43821
Provenance-Emu/Provenance Provenance-Emu__Provenance-1730 problem_statement 554
Provenance-Emu/Provenance Provenance-Emu__Provenance-1730 hints_text 415
Provenance-Emu/Provenance Provenance-Emu__Provenance-1556 patch 384
Provenance-Emu/Provenance Provenance-Emu__Provenance-1556 problem_statement 557
Provenance-Emu/Provenance Provenance-Emu__Provenance-1493 patch 7730
Provenance-Emu/Provenance Provenance-Emu__Provenance-1493 problem_statement 627
Provenance-Emu/Provenance Provenance-Emu__Provenance-1489 patch 7730
Provenance-Emu/Provenance Provenance-Emu__Provenance-1489 problem_statement 1254
Provenance-Emu/Provenance Provenance-Emu__Provenance-1489 hints_text 1
goldendict/goldendict goldendict__goldendict-1673 patch 597
goldendict/goldendict goldendict__goldendict-1673 problem_statement 203
goldendict/goldendict goldendict__goldendict-1673 hints_text 230
goldendict/goldendict goldendict__goldendict-1471 patch 161
goldendict/goldendict goldendict__goldendict-1471 problem_statement 503
goldendict/goldendict goldendict__goldendict-1471 hints_text 41
goldendict/goldendict goldendict__goldendict-1460 patch 176
goldendict/goldendict goldendict__goldendict-1460 problem_statement 15
goldendict/goldendict goldendict__goldendict-1460 hints_text 286
goldendict/goldendict goldendict__goldendict-1430 patch 275
goldendict/goldendict goldendict__goldendict-1430 problem_statement 125
goldendict/goldendict goldendict__goldendict-1430 hints_text 1598
doctest/doctest doctest__doctest-881 patch 125
doctest/doctest doctest__doctest-881 test_patch 2558
