repo_name,language,stars,type,content,url,category
NVIDIA/open-gpu-kernel-modules,C,15371,pull_request,fix cudahostregister failed on page-backed memory mapped to userspace with remap_pfn_range,https://github.com/NVIDIA/open-gpu-kernel-modules/pull/742,space
NVIDIA/open-gpu-kernel-modules,C,15371,pull_request,fix cudahostregister failed on page-backed memory mapped to userspace with remap_pfn_range.,https://github.com/NVIDIA/open-gpu-kernel-modules/pull/741,space
NVIDIA/open-gpu-kernel-modules,C,15371,pull_request,gpu/fifo: avoid possible invalid memory accesses,https://github.com/NVIDIA/open-gpu-kernel-modules/pull/657,space
NVIDIA/open-gpu-kernel-modules,C,15371,pull_request,fix kernel memory leak in pnotifshare,https://github.com/NVIDIA/open-gpu-kernel-modules/pull/655,space
NVIDIA/open-gpu-kernel-modules,C,15371,pull_request,log an error message when nv_mem_client_init() fails due to missing ib peer memory symbols,https://github.com/NVIDIA/open-gpu-kernel-modules/pull/630,space
tursodatabase/libsql,C,13256,pull_request,add support for namespace to the remote connection builder,https://github.com/tursodatabase/libsql/pull/1865,space
jart/blink,C,7036,pull_request,fix getbitsinaddressspace hardcoded in wasm,https://github.com/jart/blink/pull/177,space
jart/blink,C,7036,pull_request,slightly speed up tlb lookups for `blink -m` mode,https://github.com/jart/blink/pull/146,time
jart/blink,C,7036,pull_request,let fast alu micro-ops for jit clobber entire low byte of eflags,https://github.com/jart/blink/pull/135,time
jart/blink,C,7036,pull_request,"fix issues related to simd opcodes, `rep movsb`, & memory protection",https://github.com/jart/blink/pull/132,space
OnionUI/Onion,C,3583,pull_request,fix memory leak in batmon,https://github.com/OnionUI/Onion/pull/1655,space
OnionUI/Onion,C,3583,pull_request,fix memory leaks with cjson,https://github.com/OnionUI/Onion/pull/1653,space
hydradatabase/hydra,C,2884,pull_request,fix memory leak when updating chunk skip node,https://github.com/hydradatabase/hydra/pull/254,space
hydradatabase/hydra,C,2884,pull_request,fix an out-of-memory when inserting large values,https://github.com/hydradatabase/hydra/pull/253,space
hydradatabase/hydra,C,2884,pull_request,[columnar] fix storage id for alter set type,https://github.com/hydradatabase/hydra/pull/251,space
hydradatabase/hydra,C,2884,pull_request,remove redundant code in columnarstorageupdateifneeded,https://github.com/hydradatabase/hydra/pull/249,space
hydradatabase/hydra,C,2884,pull_request,fix memory leak when executing vectorized quals,https://github.com/hydradatabase/hydra/pull/242,space
eunomia-bpf/bpf-developer-tutorial,C,2775,pull_request,rust and btf co-re for userspace,https://github.com/eunomia-bpf/bpf-developer-tutorial/pull/103,space
GPUOpen-Effects/FidelityFX-FSR2,C,1998,pull_request,reduced fsr2_lockinputluma dimensions from presentation resolution to render resolution saving memory,https://github.com/GPUOpen-Effects/FidelityFX-FSR2/pull/96,space
GPUOpen-Effects/FidelityFX-FSR2,C,1998,pull_request,fix unifed memory heap being ignored on vulkan,https://github.com/GPUOpen-Effects/FidelityFX-FSR2/pull/87,space
cnlohr/mini-rv32ima,C,1724,pull_request,fix control memory address calculations,https://github.com/cnlohr/mini-rv32ima/pull/22,space
lizrice/learning-ebpf,C,1310,pull_request,add buffer space for null byte,https://github.com/lizrice/learning-ebpf/pull/44,space
hanwckf/immortalwrt-mt798x,C,1256,pull_request,mediatek: fix the speed display on the gsw switch page,https://github.com/hanwckf/immortalwrt-mt798x/pull/328,time
alibaba/GaiaX,C,1233,pull_request,fix js fast preview,https://github.com/alibaba/GaiaX/pull/453,time
strongtz/i915-sriov-dkms,C,1210,pull_request,fix possible memory leak at 6.5+,https://github.com/strongtz/i915-sriov-dkms/pull/204,space
airockchip/rknn_model_zoo,C,1180,pull_request,fix memory leaks,https://github.com/airockchip/rknn_model_zoo/pull/109,space
airockchip/rknn_model_zoo,C,1180,pull_request,fix memory leaks,https://github.com/airockchip/rknn_model_zoo/pull/108,space
